Invoicedate,Distributor,GroupId,Type,Provincename,MatNo,Material Name,New_Volume(L)
17/8/2023,B,ERW_BM2U2020110177,Retails,Nakhon Pathom,145497,"M-Del Legend 15W40(CH-4) ,4/7",616
25/9/2023,A,ERW_AJ0E2020120005,Reseller,Chanthaburi,145497,M DEL LEGEND CH-4 15W-40 HD. 4X7L/CAR,168
28/9/2023,A,ERW_AMBP2020110030,Retails,Bangkok,145497,M DEL LEGEND CH-4 15W-40 HD. 4X7L/CAR,9716
8/6/2023,D,ERW_DBG72020110075,Retails,Chumphon,145497,Mobil Delvac Legend CH-4 15W-40 Heavy Duty CTN 4X6+1L:TH,1400
20/6/2023,D,ERW_DBG72020110075,Retails,Chumphon,145577,MOBIL SUPER FRICTION FIGHTER TURBOSPEED10W-30 CTN4X7L:TH,13244
10/2/2023,A,ERW_AMBP2020110291,Reseller,Nakhon Ratchasima,143160,M DELVAC SUPER 1400 15W-40 CTN 4X6+1L:TH,13720
25/4/2023,A,ERW_ADG22021040108,Retails,Khon Kaen,142939,MOBIL DELVAC SUPER 1400 15W-40 18L/PAIL,1340
24/2/2023,A,ERW_ADG22021040108,Retails,Khon Kaen,142939,M DELVAC SUPER 1400 15W-40 PAIL 18L:TH,1240
5/4/2023,A,ERW_AMBP2020110217,Retails,Nakhon Ratchasima,142930,MOBIL DELVAC MX 15W-40 18L/PAIL,5620
27/3/2023,A,ERW_ARPA2023060001,Retails,Yasothon,140918,MOBIL GEO 15W-40 18L/PAIL,6380
21/12/2023,B,ERW_BM2U2020110053,Retails,Nakhon Pathom,145438,"M-Del Legend 20W50 S Def,20L",6160
30/3/2023,A,ERW_AMBP2020110142,Reseller,Saraburi,143160,MOBIL DELVAC SUPER 1400 15W-40 4X6+1/CAR,2968
18/11/2023,C,ERW_C08P2020090176,Retails,Chiang Rai,145577,M SUPER F. F. TBS 10W-30 CTN 4X7L,6440
12/5/2023,B,ERW_BM2U2020110040,Retails,Chainat,145497,"M-Del Legend 15W40(CH-4) ,4/7",1204
31/5/2023,B,ERW_BM2U2020110053,Retails,Nakhon Pathom,145474,"M-Del Modern 15W40 S Def,4/7",13972
29/3/2023,B,ERW_BM2U2020110005,Reseller,Bangkok,141539,"MOBIL DELVAC SUPER 1400-15W40 ,4/6+1",1204
22/3/2023,D,ERW_DGVG2021110003,Reseller,Phangnga,143160,M DELVAC SUPER 1400 15W-40 CTN 4X6+1L:TH,168
20/12/2023,B,ERW_BM2U2020110053,Retails,Nakhon Pathom,145500,"M-Del Modern 15W40 S Def,1/20",4500
25/7/2023,D,ERW_DBG72020110082,Reseller,Songkhla,145500,MOBIL DELVAC Modern 15W-40 Super Defense PAIL18L:TH,460
3/4/2023,A,ERW_AMBP2020110082,Retails,Bangkok,145577,M SUP Frict Fighter TBS 10W-30 4x7L/CAR,6328
23/12/2023,A,ERW_AMBP2020110206,Reseller,Chachoengsao,145577,M SUP Frict Fighter TBS 10W-30 4x7L/CAR,13272
3/4/2023,A,ERW_AMBP2020110400,Retails,Bangkok,145577,M SUP Frict Fighter TBS 10W-30 4x7L/CAR,7252
10/3/2023,A,ERW_AMBP2020110467,Retails,Lop Buri,143160,MOBIL DELVAC SUPER1400 15W-40 4X6+1L/CAR,11760
13/12/2023,A,ERW_AMBP2020110671,Reseller,Chai Nat,145577,M SUP Frict Fighter TBS 10W-30 4x7L/CAR,11144
27/4/2023,A,ERW_AMBP2020110030,Retails,Bangkok,145577,M SUP Frict Fighter TBS 10W-30 4x7L/CAR,4480
29/3/2023,A,ERW_AMBP2020110030,Retails,Bangkok,145577,M SUP Frict Fighter TBS 10W-30 4x7L/CAR,8484
28/11/2023,A,ERW_AMBP2020110030,Retails,Bangkok,145577,M SUP Frict Fighter TBS 10W-30 4x7L/CAR,5096
23/12/2023,A,ERW_AMBP2020110030,Retails,Bangkok,145577,M SUP Frict Fighter TBS 10W-30 4x7L/CAR,6216
28/9/2023,A,ERW_AMBP2020110142,Reseller,Saraburi,145474,M DEL MODERN 15W-40 S DEFENS 4X7L/CAR,7672
28/9/2023,A,ERW_AMBP2020110142,Reseller,Saraburi,145577,M SUP Frict Fighter TBS 10W-30 4x7L/CAR,6552
30/8/2023,A,ERW_AMBP2020110142,Reseller,Saraburi,145577,M SUP Frict Fighter TBS 10W-30 4x7L/CAR,728
28/3/2023,A,ERW_AMBP2020110142,Reseller,Saraburi,145577,M SUP Frict Fighter TBS 10W-30 4x7L/CAR,224
21/7/2023,A,ERW_AMBP2020110142,Reseller,Saraburi,145474,M DEL MODERN 15W-40 S DEFENS 4X7L/CAR,13804
12/6/2023,A,ERW_AMBP2020110201,Reseller,Trat,145474,M DEL MODERN 15W-40 S DEFENS 4X7L/CAR,28
2/5/2023,A,ERW_AMBP2020110201,Reseller,Trat,143629,MOBIL SUPER 2000 TBS 10W-30 4X7L/CAR,7840
9/2/2023,A,ERW_AMBP2020110201,Reseller,Trat,143629,MOBIL SUPER 2000 TBS10W-30 CTN4X7L:TH,1848
21/3/2023,A,ERW_AMBP2020110206,Reseller,Chachoengsao,145474,M DEL MODERN 15W-40 S DEFENS 4X7L/CAR,3752
12/6/2023,A,ERW_AMBP2020110201,Reseller,Trat,145474,M DEL MODERN 15W-40 S DEFENS 4X7L/CAR,6916
12/6/2023,A,ERW_AMBP2020110201,Reseller,Trat,145474,M DEL MODERN 15W-40 S DEFENS 4X7L/CAR,12908
2/5/2023,A,ERW_AMBP2020110201,Reseller,Trat,143629,MOBIL SUPER 2000 TBS 10W-30 4X7L/CAR,7308
2/5/2023,A,ERW_AMBP2020110201,Reseller,Trat,143629,MOBIL SUPER 2000 TBS 10W-30 4X7L/CAR,4956
21/9/2023,A,ERW_AMBP2020110503,Retails,Chon Buri,145474,M DEL MODERN 15W-40 S DEFENS 4X7L/CAR,7056
17/4/2023,A,ERW_AMBP2020110671,Reseller,Chai Nat,145577,M SUP Frict Fighter TBS 10W-30 4x7L/CAR,10416
17/4/2023,A,ERW_AMBP2020110671,Reseller,Chai Nat,145474,M DEL MODERN 15W-40 S DEFENS 4X7L/CAR,9912
26/7/2023,A,ERW_AMBP2020110740,Retails,Ubon Ratchathani,145474,M DEL MODERN 15W-40 S DEFENS 4X7L/CAR,8624
12/7/2023,A,ERW_AMBP2020110745,Retails,Chon Buri,145474,M DEL MODERN 15W-40 S DEFENS 4X7L/CAR,672
3/8/2023,A,ERW_AMBP2020110745,Retails,Chon Buri,145474,M DEL MODERN 15W-40 S DEFENS 4X7L/CAR,7784
10/7/2023,B,ERW_BM2U2020110005,Reseller,Bangkok,145497,"M-Del Legend 15W40(CH-4) ,4/7",1204
26/1/2023,D,ERW_DBG72020110028,Reseller,Chumphon,143160,M DELVAC SUPER 1400 15W-40 CTN 4X6+1L:TH,2296
23/5/2023,D,ERW_DBG72020110028,Reseller,Chumphon,143160,M DELVAC SUPER 1400 15W-40 CTN 4X6+1L:TH,5320
28/9/2023,D,ERW_DBG72020110028,Reseller,Chumphon,145497,Mobil Delvac Legend CH-4 15W-40 Heavy Duty CTN 4X6+1L:TH,3164
11/7/2023,D,ERW_DBG72020110035,Retails,Nakhon Si Thammarat,142931,MOBIL DELVAC MX 15W-40 CTN 4X6+1L:TH,13944
4/5/2023,D,ERW_DBG72020110038,Reseller,Phuket,143160,M DELVAC SUPER 1400 15W-40 CTN 4X6+1L:TH,9884
6/12/2023,D,ERW_DBG72020110038,Reseller,Phuket,145577,MOBIL SUPER FRICTION FIGHTER TURBOSPEED10W-30 CTN4X7L:TH,1176
27/11/2023,D,ERW_DBG72020110075,Retails,Chumphon,145497,Mobil Delvac Legend CH-4 15W-40 Heavy Duty CTN 4X6+1L:TH,12264
25/12/2023,D,ERW_DYZP2023100001,Reseller,Chumphon,145497,Mobil Delvac Legend CH-4 15W-40 Heavy Duty CTN 4X6+1L:TH,5992
26/9/2023,D,ERW_DYZP2023100001,Reseller,Chumphon,145497,Mobil Delvac Legend CH-4 15W-40 Heavy Duty CTN 4X6+1L:TH,7896
13/3/2023,A,ERW_AJ0E2020120005,Reseller,Chanthaburi,143629,MOBIL SUPER 2000 TBS 10W-30 4X7L/CAR,12964
